idx,language,theme,gemini,OpenAI,doubao,qwen,perplexity,grok-1,tongyi,avg
39,zh,Software Development,1.000000,1.000000,1.000000,1.000000,1.000000,0.666667,0.777778,0.920635
64,en,Health,0.888889,1.000000,0.777778,1.000000,0.888889,,0.777778,0.888889
102,en,Games,1.000000,0.800000,0.900000,0.900000,0.800000,1.000000,0.800000,0.885714
12,en,Finance & Business,1.000000,1.000000,0.857143,0.714286,0.857143,1.000000,0.714286,0.877551
38,en,Science & Technology,0.833333,1.000000,0.833333,0.833333,0.833333,0.833333,0.833333,0.857143
114,en,Software,0.875000,0.875000,0.750000,0.750000,0.875000,0.750000,0.875000,0.821429
123,zh,Home & Hobbies,0.916667,0.833333,0.750000,0.833333,0.916667,0.750000,0.666667,0.809524
43,zh,Software Development,0.818182,0.818182,0.909091,1.000000,0.545455,0.909091,0.636364,0.805195
59,zh,Education & Jobs,0.909091,0.363636,1.000000,0.818182,1.000000,1.000000,0.545455,0.805195
11,zh,Finance & Business,1.000000,0.750000,0.875000,1.000000,0.625000,0.875000,0.500000,0.803571
70,en,Health,1.000000,0.700000,0.700000,0.900000,0.500000,0.800000,1.000000,0.800000
35,zh,Science & Technology,0.916667,0.666667,0.750000,0.750000,0.750000,0.833333,0.833333,0.785714
22,en,Science & Technology,0.692308,0.846154,0.769231,0.923077,0.692308,0.615385,0.923077,0.780220
13,zh,Finance & Business,1.000000,1.000000,0.833333,0.666667,0.666667,0.833333,0.333333,0.761905
14,en,Finance & Business,0.785714,0.642857,0.857143,0.571429,0.785714,0.857143,0.642857,0.734694
49,zh,Software Development,0.769231,0.846154,0.692308,0.615385,0.769231,0.923077,0.461538,0.725275
16,en,Science & Technology,0.666667,0.916667,0.750000,0.750000,0.500000,0.666667,0.750000,0.714286
76,en,Literature,0.818182,0.727273,0.727273,0.818182,0.545455,0.545455,0.818182,0.714286
56,en,Education & Jobs,0.625000,0.625000,0.625000,0.750000,0.625000,0.750000,0.875000,0.696429
68,en,Health,0.625000,0.750000,0.750000,1.000000,1.000000,0.375000,0.375000,0.696429
47,zh,Software Development,0.833333,0.500000,0.500000,0.916667,0.666667,0.750000,0.666667,0.690476
69,zh,Health,0.833333,0.750000,0.666667,0.916667,0.500000,0.666667,0.500000,0.690476
57,zh,Education & Jobs,0.800000,0.800000,0.800000,0.800000,0.600000,0.500000,0.500000,0.685714
127,zh,Social Life,0.714286,0.714286,0.714286,0.571429,0.714286,0.500000,0.714286,0.663265
71,zh,Health,0.666667,0.888889,0.555556,0.555556,0.777778,0.888889,0.222222,0.650794
119,zh,Travel,0.750000,0.750000,0.625000,0.375000,0.875000,0.625000,0.500000,0.642857
15,zh,Finance & Business,0.800000,0.733333,,0.800000,0.666667,0.533333,0.266667,0.633333
44,en,Software Development,0.800000,0.700000,0.600000,0.700000,0.500000,0.600000,0.500000,0.628571
84,en,History,0.666667,0.583333,0.583333,0.583333,0.583333,0.750000,0.583333,0.619048
24,en,Science & Technology,0.600000,0.733333,0.666667,0.600000,0.600000,0.666667,0.466667,0.619048
72,en,Health,0.666667,0.666667,0.666667,0.555556,0.444444,0.777778,0.444444,0.603175
21,zh,Science & Technology,0.700000,0.800000,0.600000,0.700000,0.500000,0.500000,0.400000,0.600000
92,en,Industrial,0.800000,0.700000,0.800000,0.400000,0.700000,0.600000,0.200000,0.600000
105,zh,Entertainment,0.750000,0.500000,0.250000,0.500000,0.500000,0.500000,1.000000,0.571429
117,zh,Religion,0.461538,0.692308,0.692308,0.615385,0.538462,0.615385,0.384615,0.571429
52,en,Education & Jobs,0.785714,0.571429,0.500000,0.642857,0.571429,0.357143,0.571429,0.571429
77,zh,Literature,0.750000,0.750000,,0.500000,0.500000,0.666667,0.250000,0.569444
40,en,Software Development,0.500000,0.666667,0.666667,0.333333,0.333333,0.666667,0.666667,0.547619
58,en,Education & Jobs,0.500000,0.636364,0.409091,0.545455,0.545455,0.636364,0.545455,0.545455
90,en,Hardware,0.555556,0.444444,0.555556,0.611111,0.555556,0.611111,0.444444,0.539683
30,en,Science & Technology,0.769231,0.692308,0.769231,0.461538,0.384615,0.307692,0.307692,0.527473
19,zh,Science & Technology,0.454545,0.636364,0.727273,0.272727,0.636364,0.454545,0.454545,0.519481
124,en,Home & Hobbies,0.625000,0.375000,0.375000,0.750000,0.625000,0.125000,0.750000,0.517857
60,en,Education & Jobs,0.600000,0.533333,0.400000,0.533333,0.533333,0.600000,0.400000,0.514286
96,en,Industrial,0.454545,0.545455,0.545455,0.727273,0.818182,0.272727,0.181818,0.506494
100,en,Art & Design,0.631579,0.526316,0.368421,0.578947,0.526316,0.421053,0.473684,0.503759
129,zh,Food & Dining,0.583333,0.166667,0.333333,0.666667,0.500000,0.583333,0.666667,0.500000
132,en,Fashion & Beauty,0.571429,0.642857,0.357143,0.857143,0.285714,0.357143,0.428571,0.500000
75,zh,Literature,0.375000,0.625000,0.750000,0.500000,0.375000,0.500000,0.375000,0.500000
86,en,Hardware,0.857143,,0.571429,0.142857,0.714286,0.428571,0.285714,0.500000
88,en,Hardware,0.800000,0.600000,0.400000,0.300000,0.800000,0.000000,0.600000,0.500000
37,zh,Science & Technology,0.777778,0.555556,0.555556,0.555556,0.222222,0.444444,0.333333,0.492063
83,zh,History,0.500000,0.400000,0.700000,0.600000,0.500000,0.500000,0.200000,0.485714
61,zh,Education & Jobs,0.636364,0.272727,0.727273,0.727273,0.181818,0.454545,0.363636,0.480519
54,en,Education & Jobs,0.545455,0.545455,0.636364,0.454545,0.545455,0.363636,0.272727,0.480519
67,zh,Health,0.384615,0.461538,0.384615,0.615385,0.384615,0.769231,0.307692,0.472527
45,zh,Software Development,0.600000,0.200000,0.500000,0.200000,0.600000,0.800000,0.400000,0.471429
48,en,Software Development,0.500000,0.500000,0.500000,0.600000,0.600000,0.300000,0.300000,0.471429
31,zh,Science & Technology,0.666667,0.500000,0.500000,0.500000,0.333333,0.500000,0.250000,0.464286
10,en,Finance & Business,0.529412,0.529412,0.470588,0.470588,0.235294,0.411765,0.588235,0.462185
23,zh,Science & Technology,0.800000,0.400000,0.400000,0.600000,0.500000,0.200000,0.300000,0.457143
33,zh,Science & Technology,0.700000,0.700000,0.400000,0.400000,0.600000,0.300000,0.100000,0.457143
93,zh,Industrial,0.642857,0.357143,0.357143,0.428571,0.500000,0.428571,0.428571,0.448980
106,en,Entertainment,0.733333,0.733333,0.533333,0.400000,0.200000,0.266667,0.266667,0.447619
89,zh,Hardware,0.541667,0.541667,0.541667,0.291667,0.291667,0.541667,0.375000,0.446429
