idx,language,theme,qwen,gemini,OpenAI,tongyi,doubao,perplexity,grok-1,avg
82,en,History,0.724138,0.706897,0.034483,0.000000,,0.034483,0.000000,0.250000
112,en,Sports & Fitness,0.808219,0.000000,0.890411,0.000000,0.000000,0.000000,0.000000,0.242661
105,zh,Entertainment,0.428571,0.000000,0.625000,0.000000,0.625000,0.000000,0.017857,0.242347
73,zh,Health,0.681319,0.560440,0.000000,0.000000,0.000000,0.000000,0.000000,0.177394
27,zh,Science & Technology,0.448718,0.166667,0.435897,0.000000,0.051282,0.000000,0.000000,0.157509
71,zh,Health,0.150943,0.188679,0.037736,0.509434,0.113208,0.018868,0.000000,0.145553
131,zh,Fashion & Beauty,0.058824,0.670588,0.000000,0.188235,0.000000,0.000000,0.000000,0.131092
12,en,Finance & Business,0.535714,0.000000,0.000000,0.160714,0.000000,0.000000,0.000000,0.099490
4,en,Finance & Business,0.208333,0.000000,0.000000,0.055556,0.000000,0.416667,0.000000,0.097222
96,en,Industrial,0.202899,0.000000,0.173913,0.130435,0.159420,0.000000,0.000000,0.095238
80,en,History,0.378378,0.081081,0.000000,,0.108108,0.000000,0.000000,0.094595
116,en,Religion,0.200000,0.000000,0.040000,0.220000,0.200000,0.000000,0.000000,0.094286
20,en,Science & Technology,0.204545,0.136364,0.000000,0.250000,0.045455,0.000000,0.000000,0.090909
83,zh,History,0.000000,0.391304,0.086957,0.000000,0.130435,0.000000,0.000000,0.086957
34,en,Science & Technology,0.602273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086039
120,en,Travel,0.589744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.084249
92,en,Industrial,0.559524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079932
79,zh,Literature,,0.208333,0.187500,0.000000,,0.000000,0.000000,0.079167
128,en,Food & Dining,0.430769,0.015385,0.000000,0.076923,0.030769,0.000000,0.000000,0.079121
19,zh,Science & Technology,0.425532,0.106383,0.000000,0.000000,0.000000,0.000000,0.000000,0.075988
58,en,Education & Jobs,0.484127,0.000000,0.000000,0.039683,0.000000,0.000000,0.000000,0.074830
6,en,Finance & Business,0.383721,0.069767,0.034884,0.000000,0.000000,0.000000,0.000000,0.069767
122,en,Home & Hobbies,0.183908,0.000000,0.068966,0.126437,0.011494,0.000000,0.091954,0.068966
13,zh,Finance & Business,0.448819,0.000000,0.000000,0.000000,0.000000,0.007874,0.000000,0.065242
28,en,Science & Technology,0.362500,0.062500,0.000000,0.000000,0.000000,0.025000,0.000000,0.064286
103,zh,Crime & Law,0.422222,0.022222,0.000000,0.000000,0.000000,0.000000,0.000000,0.063492
26,en,Science & Technology,0.272727,0.090909,0.000000,0.000000,0.000000,0.075758,0.000000,0.062771
61,zh,Education & Jobs,0.019608,0.000000,0.196078,0.196078,0.000000,0.019608,0.000000,0.061625
8,en,Finance & Business,0.152778,0.263889,0.000000,0.000000,0.000000,0.000000,0.000000,0.059524
88,en,Hardware,0.166667,0.000000,0.000000,0.033333,0.000000,0.000000,0.200000,0.057143
86,en,Hardware,0.269841,0.000000,,0.063492,0.000000,0.000000,0.000000,0.055556
75,zh,Literature,0.312500,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.053571
129,zh,Food & Dining,0.084746,0.000000,0.254237,0.033898,0.000000,0.000000,0.000000,0.053269
125,zh,Social Life,0.343284,0.000000,0.000000,0.014925,0.000000,0.000000,0.000000,0.051173
2,en,Finance & Business,0.266055,0.027523,0.000000,0.036697,0.000000,0.027523,0.000000,0.051114
74,en,Literature,0.229730,0.108108,0.000000,0.000000,0.000000,0.000000,0.000000,0.048263
94,en,Industrial,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.047619
63,zh,Health,0.328125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046875
108,en,Transportation,0.315789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045113
77,zh,Literature,0.133333,0.133333,0.000000,0.000000,,0.000000,0.000000,0.044444
40,en,Software Development,0.233577,0.014599,0.000000,0.058394,0.000000,0.000000,0.000000,0.043796
81,zh,History,0.261905,0.000000,0.023810,0.000000,0.000000,0.000000,0.000000,0.040816
37,zh,Science & Technology,0.195652,0.065217,0.000000,0.000000,0.021739,0.000000,0.000000,0.040373
38,en,Science & Technology,0.282609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040373
114,en,Software,0.260000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000
93,zh,Industrial,0.276316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039474
54,en,Education & Jobs,0.147059,0.029412,0.000000,0.073529,0.000000,0.000000,0.000000,0.035714
42,en,Software Development,0.000000,0.106667,0.000000,0.120000,0.013333,0.000000,0.000000,0.034286
132,en,Fashion & Beauty,0.126761,0.112676,0.000000,0.000000,0.000000,0.000000,0.000000,0.034205
91,zh,Hardware,0.109890,0.021978,0.010989,0.000000,0.087912,0.000000,0.000000,0.032967
64,en,Health,0.197183,0.000000,0.000000,0.000000,0.000000,0.000000,,0.032864
48,en,Software Development,0.000000,0.057143,0.042857,0.114286,0.000000,0.000000,0.000000,0.030612
16,en,Science & Technology,0.173077,0.000000,0.000000,0.019231,0.019231,0.000000,0.000000,0.030220
44,en,Software Development,0.020000,0.060000,0.000000,0.000000,0.120000,0.000000,0.000000,0.028571
107,zh,Transportation,0.056452,0.000000,0.000000,0.000000,0.000000,0.129032,0.000000,0.026498
99,zh,Art & Design,0.123077,0.061538,0.000000,0.000000,0.000000,0.000000,0.000000,0.026374
70,en,Health,0.181818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025974
57,zh,Education & Jobs,0.018182,0.036364,0.000000,0.127273,0.000000,0.000000,0.000000,0.025974
62,en,Health,0.102564,0.000000,0.051282,0.025641,0.000000,0.000000,0.000000,0.025641
17,zh,Science & Technology,0.100000,0.000000,0.022222,0.000000,0.000000,0.055556,0.000000,0.025397
118,en,Religion,0.000000,0.087719,0.035088,0.000000,0.052632,0.000000,0.000000,0.025063
104,en,Crime & Law,,0.125000,0.000000,0.000000,,0.000000,0.000000,0.025000
121,zh,Travel,0.000000,0.052632,0.105263,0.000000,0.000000,0.000000,0.000000,0.022556
35,zh,Science & Technology,0.000000,0.011364,0.000000,0.000000,0.142045,0.000000,0.000000,0.021916
87,zh,Hardware,0.084746,0.000000,0.000000,0.000000,0.000000,0.067797,0.000000,0.021792
78,en,Literature,0.066667,0.033333,0.000000,0.050000,0.000000,0.000000,0.000000,0.021429
117,zh,Religion,0.000000,0.145161,0.000000,0.000000,0.000000,0.000000,0.000000,0.020737
9,zh,Finance & Business,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.020408
67,zh,Health,0.000000,0.000000,0.000000,0.138462,0.000000,0.000000,0.000000,0.019780
111,zh,Sports & Fitness,0.104478,0.000000,0.000000,0.000000,0.029851,0.000000,0.000000,0.019190
53,zh,Education & Jobs,0.054054,0.067568,0.000000,0.000000,0.000000,0.000000,0.000000,0.017375
43,zh,Software Development,0.108696,0.010870,0.000000,0.000000,0.000000,0.000000,0.000000,0.017081
31,zh,Science & Technology,0.087379,0.000000,0.019417,0.000000,0.009709,0.000000,0.000000,0.016644
97,zh,Art & Design,0.080645,0.016129,0.000000,0.000000,,0.000000,0.000000,0.016129
18,en,Science & Technology,0.076923,0.030769,0.000000,0.000000,0.000000,0.000000,0.000000,0.015385
45,zh,Software Development,0.106383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015198
101,zh,Games,0.000000,0.102564,0.000000,0.000000,0.000000,0.000000,0.000000,0.014652
119,zh,Travel,0.101695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014528
46,en,Software Development,0.092593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013228
65,zh,Health,0.090909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012987
69,zh,Health,0.090909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012987
98,en,Art & Design,0.017544,0.035088,0.017544,0.017544,0.000000,0.000000,0.000000,0.012531
127,zh,Social Life,0.064516,0.016129,0.000000,0.000000,0.000000,0.000000,0.000000,0.011521
56,en,Education & Jobs,0.000000,0.057143,0.014286,0.000000,0.000000,0.000000,0.000000,0.010204
89,zh,Hardware,0.054054,0.000000,0.000000,0.013514,0.000000,0.000000,0.000000,0.009653
68,en,Health,0.000000,0.016667,0.033333,0.000000,0.016667,0.000000,0.000000,0.009524
7,zh,Finance & Business,0.053333,0.000000,0.000000,0.013333,0.000000,0.000000,0.000000,0.009524
110,en,Sports & Fitness,0.032258,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.009217
66,en,Health,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.008403
109,zh,Transportation,0.000000,0.014925,0.000000,,0.014925,0.014925,0.000000,0.007463
115,zh,Religion,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006211
5,zh,Finance & Business,0.000000,0.020833,0.000000,0.000000,0.020833,0.000000,0.000000,0.005952
126,en,Social Life,0.000000,0.000000,0.000000,0.000000,0.000000,0.041096,0.000000,0.005871
39,zh,Software Development,0.008929,0.026786,0.000000,0.000000,0.000000,0.000000,0.000000,0.005102
85,zh,History,0.000000,0.035714,0.000000,0.000000,0.000000,0.000000,0.000000,0.005102
60,en,Education & Jobs,0.000000,0.000000,0.033898,0.000000,0.000000,0.000000,0.000000,0.004843
11,zh,Finance & Business,0.000000,0.000000,0.016667,0.016667,0.000000,0.000000,0.000000,0.004762
