idx,language,theme,OpenAI,gemini,doubao,qwen,grok-1,perplexity,tongyi,avg
9,zh,Finance & Business,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
69,zh,Health,0.666667,0.777778,0.622222,0.711111,0.711111,0.777778,0.577778,0.692063
51,zh,Software Development,0.819820,0.783784,0.594595,0.684685,0.693694,0.585586,0.567568,0.675676
95,zh,Industrial,0.706897,0.603448,0.672414,0.741379,0.672414,0.672414,0.620690,0.669951
14,en,Finance & Business,0.676471,0.676471,0.735294,0.558824,0.823529,0.764706,0.411765,0.663866
11,zh,Finance & Business,0.565217,0.739130,0.695652,0.739130,0.478261,0.695652,0.608696,0.645963
15,zh,Finance & Business,0.600000,0.657143,,0.685714,0.685714,0.657143,0.485714,0.628571
7,zh,Finance & Business,0.733333,0.633333,0.716667,0.583333,0.550000,0.683333,0.466667,0.623810
72,en,Health,0.659574,0.574468,0.617021,0.574468,0.702128,0.744681,0.489362,0.623100
12,en,Finance & Business,0.837209,0.767442,0.627907,0.232558,0.651163,0.674419,0.558140,0.621262
34,en,Science & Technology,0.779661,0.745763,0.610169,0.186441,0.610169,0.610169,0.559322,0.585956
36,en,Science & Technology,0.608696,0.478261,0.586957,0.869565,0.543478,0.500000,0.478261,0.580745
64,en,Health,0.754386,0.736842,0.578947,0.350877,,0.456140,0.578947,0.576023
123,zh,Home & Hobbies,0.650000,0.600000,0.600000,0.575000,0.575000,0.575000,0.450000,0.575000
100,en,Art & Design,0.682927,0.536585,0.512195,0.512195,0.609756,0.609756,0.560976,0.574913
44,en,Software Development,0.594595,0.648649,0.513514,0.729730,0.567568,0.513514,0.405405,0.567568
10,en,Finance & Business,0.704545,0.704545,0.409091,0.704545,0.636364,0.227273,0.522727,0.558442
20,en,Science & Technology,0.709677,0.548387,0.580645,0.580645,0.612903,0.741935,0.129032,0.557604
67,zh,Health,0.622222,0.577778,0.466667,0.688889,0.733333,0.600000,0.200000,0.555556
