idx,language,theme,grok-1,gemini,OpenAI,tongyi,doubao,perplexity,qwen,avg
104,en,Crime & Law,1.000000,1.000000,1.000000,1.000000,,1.000000,,1.000000
103,zh,Crime & Law,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
125,zh,Social Life,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
115,zh,Religion,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19,zh,Science & Technology,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,zh,Finance & Business,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
29,zh,Science & Technology,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
41,zh,Software Development,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
50,en,Software Development,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
47,zh,Software Development,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
54,en,Education & Jobs,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
60,en,Education & Jobs,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
59,zh,Education & Jobs,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
83,zh,History,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
99,zh,Art & Design,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
132,en,Fashion & Beauty,1.000000,1.000000,1.000000,0.857143,1.000000,1.000000,1.000000,0.979592
108,en,Transportation,1.000000,1.000000,0.833333,1.000000,1.000000,1.000000,1.000000,0.976190
127,zh,Social Life,0.833333,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.976190
36,en,Science & Technology,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.833333,0.976190
101,zh,Games,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.800000,0.971429
75,zh,Literature,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.800000,0.971429
