idx,language,theme,OpenAI,gemini,doubao,qwen,grok-1,perplexity,tongyi,avg
69,zh,Health,0.727273,0.818182,0.681818,0.787879,0.742424,0.696970,0.575758,0.718615
14,en,Finance & Business,0.698113,0.735849,0.792453,0.584906,0.849057,0.773585,0.528302,0.708895
11,zh,Finance & Business,0.616667,0.800000,0.733333,0.783333,0.583333,0.700000,0.616667,0.690476
12,en,Finance & Business,0.875000,0.821429,0.696429,0.303571,0.732143,0.714286,0.589286,0.676020
51,zh,Software Development,0.801587,0.777778,0.595238,0.674603,0.690476,0.587302,0.571429,0.671202
15,zh,Finance & Business,0.672727,0.727273,,0.745455,0.672727,0.672727,0.472727,0.660606
95,zh,Industrial,0.675676,0.635135,0.648649,0.689189,0.662162,0.662162,0.608108,0.654440
64,en,Health,0.802817,0.760563,0.633803,0.450704,,0.549296,0.633803,0.638498
123,zh,Home & Hobbies,0.684211,0.666667,0.614035,0.614035,0.614035,0.649123,0.491228,0.619048
72,en,Health,0.645161,0.580645,0.612903,0.580645,0.693548,0.709677,0.483871,0.615207
114,en,Software,0.680000,0.640000,0.620000,0.520000,0.540000,0.580000,0.640000,0.602857
44,en,Software Development,0.600000,0.700000,0.540000,0.720000,0.600000,0.540000,0.440000,0.591429
36,en,Science & Technology,0.610169,0.542373,0.576271,0.830508,0.542373,0.508475,0.525424,0.590799
100,en,Art & Design,0.671642,0.611940,0.492537,0.567164,0.597015,0.611940,0.567164,0.588486
84,en,History,0.532258,0.629032,0.645161,0.580645,0.645161,0.580645,0.500000,0.587558
67,zh,Health,0.630769,0.584615,0.507692,0.707692,0.769231,0.553846,0.307692,0.580220
10,en,Finance & Business,0.686567,0.686567,0.462687,0.656716,0.611940,0.268657,0.582090,0.565032
7,zh,Finance & Business,0.640000,0.586667,0.626667,0.546667,0.506667,0.613333,0.426667,0.563810
75,zh,Literature,0.625000,0.458333,0.770833,0.395833,0.625000,0.479167,0.583333,0.562500
86,en,Hardware,,0.746032,0.587302,0.365079,0.571429,0.634921,0.444444,0.558201
43,zh,Software Development,0.717391,0.652174,0.554348,0.608696,0.576087,0.391304,0.402174,0.557453
21,zh,Science & Technology,0.660377,0.603774,0.660377,0.547170,0.415094,0.603774,0.396226,0.555256
20,en,Science & Technology,0.704545,0.522727,0.590909,0.545455,0.568182,0.704545,0.227273,0.551948
9,zh,Finance & Business,0.555556,0.619048,0.682540,0.380952,0.539683,0.619048,0.412698,0.544218
34,en,Science & Technology,0.704545,0.704545,0.545455,0.227273,0.500000,0.602273,0.500000,0.540584
68,en,Health,0.600000,0.466667,0.600000,0.583333,0.416667,0.716667,0.400000,0.540476
76,en,Literature,0.553846,0.692308,0.507692,0.615385,0.430769,0.461538,0.476923,0.534066
83,zh,History,0.652174,0.391304,0.608696,0.586957,0.586957,0.608696,0.282609,0.531056
121,zh,Travel,0.657895,0.421053,0.605263,0.710526,0.473684,0.552632,0.210526,0.518797
46,en,Software Development,0.592593,0.518519,0.555556,0.500000,0.592593,0.444444,0.407407,0.515873
19,zh,Science & Technology,0.574468,0.489362,0.680851,0.361702,0.468085,0.595745,0.425532,0.513678
6,en,Finance & Business,0.674419,0.476744,0.523256,0.348837,0.651163,0.476744,0.418605,0.509967
41,zh,Software Development,0.596491,0.508772,0.631579,0.526316,0.438596,0.456140,0.385965,0.506266
16,en,Science & Technology,0.596154,0.500000,0.576923,0.673077,0.423077,0.307692,0.461538,0.505495
26,en,Science & Technology,0.636364,0.439394,0.696970,0.469697,0.393939,0.484848,0.409091,0.504329
31,zh,Science & Technology,0.592233,0.543689,0.543689,0.466019,0.436893,0.504854,0.436893,0.503467
